title,link
How to Succeed in the Age of Increasingly Complex M&A Deals - SPONSOR CONTENT FROM KPMG,https://hbr.org/sponsored/2022/07/how-to-succeed-in-the-age-of-increasingly-complex-ma-deals
CRO Inotiv continues M&A strategy with $11M Protypia buy,https://www.fiercebiotech.com/cro/cro-inotiv-continues-ma-strategy-11m-protypia-buy
Global M&A Report Midyear 2022,https://www.bain.com/insights/global-m-and-a-report-midyear-2022/
IT Consulting M&A: Deloitte Canada Acquires Striven -,https://www.channele2e.com/news/it-consulting-ma-deloitte-canada-acquires-striven
"Healthcare Dealmakers—Oracle closes $28B Cerner acquisition, FTC spoils major hospital transactions and more",https://www.fiercehealthcare.com/health-tech/healthcare-dealmakers-oracle-closes-28b-cerner-acquisition-ftc-plays-spoiler-hospitals
White & Case advises Triton on Acquisition of OCU Group Limited,https://www.whitecase.com/news/press-release/white-case-advises-triton-acquisition-ocu-group-limited
Council Post: How To Master M&A Marketing,https://www.forbes.com/sites/forbesagencycouncil/2022/07/08/how-to-master-ma-marketing/
I Was Told There’d Be a Cake Merger,https://www.bloomberg.com/opinion/articles/2022-07-12/i-was-told-there-d-be-a-cake-merger
"After failed merger bid, Care New England vows to remain independent",https://www.healthcaredive.com/news/care-new-england-to-remain-independent/626750/
"After Purchase From IBM, Watson Health Becomes Merative",https://www.hcinnovationgroup.com/finance-revenue-cycle/mergers-acquisitions/news/21273431/after-purchase-from-ibm-watson-health-becomes-merative
M&A Moves: Maryland edtech company 2U may get acquired for $1B,https://technical.ly/startups/2u-mydigitaloffice-datavision-technologies/
Latest mergers and acquisitions in cranes and specialized transport,https://www.cranebriefing.com/news/latest-mergers-and-acquisitions-in-cranes-and-specialized-transport/8021745.article
Brown & Brown secures acquisition of Global Risk Partners,https://www.insurancebusinessmag.com/us/news/mergers-acquisitions/brown-and-brown-secures-acquisition-of-global-risk-partners-412094.aspx
Watkins Expands Virtual Experience Program Series With Intellectual Property Litigation Offering,https://www.lw.com/en/news/2022/07/latham-watkins-expands-virtual-experience-program-series-with-intellectual-property-litigation
Mergers and Acquisitions in India – New Issue of India Briefing Magazine Out Now,https://www.india-briefing.com/news/mergers-and-acquisitions-in-india-new-issue-of-india-briefing-magazine-out-now-25437.html/
IBM Acquires Data Observability Software Company Databand.ai -,https://www.channele2e.com/news/ibm-buys-data-observability-software-company-databand-ai
"Buying Tyme: Syros inks $190M merger, Flagship-backed financing to extend cash runway into 2025",https://www.fiercebiotech.com/biotech/buying-tyme-syros-inks-190m-merger-flagship-backed-financing-extend-cash-runway-2025
M&A Advisor Names Four White & Case Partners “Emerging Leaders”,https://www.whitecase.com/firm/awards-rankings/award/ma-advisor-names-four-white-case-partners-emerging-leaders
Hub International furthers acquires Compass Insurance Services,https://www.insurancebusinessmag.com/us/news/mergers-acquisitions/hub-international-furthers-acquires-compass-insurance-services-412479.aspx
Fujitsu Acquires ServiceNow Partner Enable Professional Services -,https://www.channele2e.com/news/fujitsu-acquires-servicenow-partner-enable-professional-services
"PSA Software M&A: BigTime, Backed By Vista Equity, Acquires Projector PSA -",https://www.channele2e.com/news/professional-services-automation-software-ma-bigtime-acquires-projector-psa
Waste Eliminator becomes sizable metro Atlanta presence with new acquisitions,https://www.wastedive.com/news/waste-eliminator-atlanta-aip-acquisitions-organics/626805/
Extended closing times plague large bank deals,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/extended-closing-times-plague-large-bank-deals-71102983
Largest-ever SPAC will return $4 billion to investors after failing to complete a deal. (Published 2022),https://www.nytimes.com/2022/07/11/business/bill-ackman-spac-pershing.html
Zip terminates merger deal with Sezzle,https://www.finextra.com/newsarticle/40624/zip-terminates-merger-deal-with-sezzle
